Circle,Name of the Monument,Domestic - 2016-17,Foreign - 2016-17,Domestic - 2017-18,Foreign - 2017-18,Domestic Percentage growth - 2017-18/2016-17,Foreign Percentage growth - 2017-18/2016-17,Airport(in km),Railway(in km)
Hyderabad ,Charminar,1551835,21004,1760180,25387,13.4,20.9,13.4,2.2
Hyderabad ,Warangal,25026,58,194732,522,678.1,800.0,7.2,2.5
Hyderabad ,Chandragiri,122393,538,121845,128,-0.4,-76.2,31.2,3.9
Hyderabad ,Nagarjunakonda,124814,63,96566,482,-22.6,665.1,11.3,29.7
Hyderabad ,Undavalli,16725,183,128802,655,670.1,257.9,26.0,4.6
Hyderabad ,Guntupalli,68877,362,25919,178,-62.4,-50.8,21.6,3.1
Hyderabad ,Mahastupa Amaravathi,127503,387,13434,391,-89.5,1.0,56.0,42.2
Jaipur ,Deeg Palaces Deeg Distt. Bharatpur,34699,1068,46333,7779,33.5,628.4,91.7,0.5
Jodhpur ,Chittaurgarh,368142,16664,555949,22331,51.0,34.0,37.3,1.3
Jodhpur ,Kumbhalgarh,408317,14238,593928,20472,45.5,43.8,52.5,52.0
Kolkata ,Hazardwari Palace,826407,1987,1161843,2701,40.6,35.9,87.6,1.8
Kolkata ,Koch Bihar Palace,430416,84,640832,126,48.9,50.0,4.5,3.0
Kolkata ,Bishnupur Group of Temples,124347,451,190470,696,53.2,54.3,103.0,3.4
Lucknow ,Residency Lucknow,280809,3543,204122,6142,-27.3,73.4,15.3,1.9
Lucknow ,Jhansi Fort,227668,748,307315,994,35.0,32.9,5.1,3.1
Lucknow ,SahetSravasti,213295,20866,235998,25461,10.6,22.0,15.9,1.2
Lucknow ,Rani Mahal,11660,48,16396,69,40.6,43.8,4.0,3.7
Lucknow ,Kalinjar Fort,75901,463,90627,151,19.4,-67.4,92.9,41.0
Mumbai ,Shaniwarwada Pune,1189800,9006,1413266,11195,18.8,24.3,10.1,2.3
Mumbai ,Elephanta caves Gharapuri Mumbai,365347,40225,539103,54386,47.6,35.2,37.5,16.6
Mumbai ,Lenyadri Caves,365347,159,492683,124,34.9,-22.0,93.2,86.6
Mumbai ,Kanheri Caves Mumbai (Suburban),402225,10651,402860,11859,0.2,11.3,21.8,7.2
Mumbai ,Karla Caves Karla,174673,2032,255676,2896,46.4,42.5,33.8,5.0
Mumbai ,Raigad Fort,190544,186,296323,195,55.5,4.8,142.0,28.4
Mumbai ,Aga Khan Palace Pune,238581,8507,323603,11742,35.6,38.0,4.0,6.1
Mumbai ,"Caves, Temples & Inscription Bhaja",48168,1171,89708,2092,86.2,78.7,64.0,13.0
Mumbai ,Kolaba Fort,75878,62,150641,169,98.5,172.6,105.0,34.0
Mumbai ,Old Fort Sholapur,27146,27,40529,43,49.3,59.3,254.0,2.0
Patna ,Excavated Remains atNalanda,640003,30316,757341,40887,18.3,34.9,93.0,3.2
Patna ,ShershahSuri 's Tomb,201639,275,166859,304,-17.2,10.5,147.0,1.6
Patna ,Ancient site of Vaishali Kolhua,163707,11349,207409,15737,26.7,38.7,65.0,11.0
Patna ,"Remains of Patliputra Kumrahar, Patna",185316,850,179561,888,-3.1,4.5,14.0,6.4
Patna ,Excavated Site Vikramshila Antichak,56333,492,88549,600,57.2,22.0,294.0,4.8
Raipur ,Laxman Temple Sirpur,52559,54,91602,72,74.3,33.3,80.0,84.0
Sarnath ,Excavated remains at Sarnath,218948,203,557041,206218,154.4,101485.2,25.0,8.1
Sarnath ,Old Fort (Shahi fort) Jaunpur,63206,534,223056,211,252.9,-60.5,45.0,1.7
Sarnath ,"Lord Cornwallis Tomb, Ghazipur ",631115,86657,18950,54,-97.0,-99.9,92.0,5.1
Sarnath ,Observatory Man Singh (Man Mahal) Varanasi,22309,89,36905,299,65.4,236.0,25.0,4.3
Shimla Mini ,Kangra Fort,152747,3742,196937,4402,28.9,17.6,12.0,20.0
Shimla Mini ,Masrur,34614,1306,55082,1701,59.1,30.2,35.0,45.0
Srinagar ,Avantiswamin Temple Avantipur Distt. Pulwama,24035,50,18650,15049,-22.4,29998.0,238.0,6.9
Srinagar ,"Palace complex at Ram Nagar, Distt. Udhampur",5732,0,8482,2,48.0,0.0,99.0,38.0
Srinagar ,Group of Temples atKiramchi Distt. Udhampur,5266,2,19165,3,263.9,50.0,70.0,15.0
Thrissur ,"Bekal Fort Pallikkare, Distt. Kasargode",357758,773,460278,1201,28.7,55.4,73.0,1.7
Thrissur ,Mattancherry Palace Museum Kochi,358540,117745,474675,121341,32.4,3.1,41.0,5.8
Vadodara ,Sun Temple Modhera,332237,3339,293019,5062,-11.8,51.6,94.0,29.0
Vadodara ,Rani-ki-Vav Patan,299893,3586,427305,5836,42.5,62.7,123.0,3.8
Vadodara ,Jama Masjid Saherki Masjid Champaner- Pavagadh,143888,1981,112384,3333,-21.9,68.2,43.0,7.4
Vadodara ,Buddhist Caves Junagadh,30122,795,40918,1241,35.8,56.1,104.0,1.4
Vadodara ,"BabaPyara & Khapra Kodiya Caves, Junagarh",343,630,64,0,-81.3,-100.0,104.0,1.5
